,ID,Age,Gender,Version,Task,Idx,Left,Right,Item,Acc,Time,Manipulation,Study,Target_or_foil,Item_type,Training_or_control,blindtested
1,102,5.457865169,1,1,N,1,11,24,11 vs 24,1,pretest,Random,1,NA,completely novel,Training,N
2,102,5.457865169,1,1,N,2,201,21,201 vs 21,1,pretest,Random,1,target,partial novel,Training,N
3,102,5.457865169,1,1,N,3,8,2,8 vs 2,1,pretest,Random,1,target,partial novel,Training,N
4,102,5.457865169,1,1,N,4,12,22,12 vs 22,0,pretest,Random,1,NA,completely novel,Training,N
5,102,5.457865169,1,1,N,5,105,125,105 vs 125,1,pretest,Random,1,foil,partial novel,Training,N
6,102,5.457865169,1,1,N,6,1000,100,1000 vs 100,1,pretest,Random,1,foil,partial novel,Training,N
7,102,5.457865169,1,1,N,7,15,5,15 vs 5,1,pretest,Random,1,foil,partial novel,Training,N
8,102,5.457865169,1,1,N,8,350,305,350 vs 305,1,pretest,Random,1,foil,partial novel,Training,N
9,102,5.457865169,1,1,N,9,64,604,64 vs 604,0,pretest,Random,1,NA,completely novel,Training,N
10,102,5.457865169,1,1,N,10,206,260,206 vs 260,1,pretest,Random,1,NA,completely novel,Training,N
11,102,5.457865169,1,1,N,11,402,42,402 vs 42,1,pretest,Random,1,foil,partial novel,Training,N
12,102,5.457865169,1,1,N,12,36,306,36 vs 306,1,pretest,Random,1,NA,completely novel,Training,N
13,102,5.457865169,1,1,N,13,670,67,670 vs 67,1,pretest,Random,1,foil,partial novel,Training,N
14,102,5.457865169,1,1,N,14,85,850,85 vs 850,1,pretest,Random,1,NA,completely novel,Training,N
15,102,5.457865169,1,1,N,15,807,78,807 vs 78,1,pretest,Random,1,NA,completely novel,Training,N
16,102,5.457865169,1,1,N,16,1002,1020,1002 vs 1020,1,pretest,Random,1,NA,completely novel,Training,N
17,102,5.457865169,1,2,N,1,36,306,36 vs 306,1,posttest,Random,1,NA,completely novel,Training,N
18,102,5.457865169,1,2,N,2,15,5,15 vs 5,1,posttest,Random,1,foil,partial novel,Training,N
19,102,5.457865169,1,2,N,3,1002,1020,1002 vs 1020,1,posttest,Random,1,NA,completely novel,Training,N
20,102,5.457865169,1,2,N,4,11,24,11 vs 24,1,posttest,Random,1,NA,completely novel,Training,N
21,102,5.457865169,1,2,N,5,670,67,670 vs 67,1,posttest,Random,1,foil,partial novel,Training,N
22,102,5.457865169,1,2,N,6,402,42,402 vs 42,1,posttest,Random,1,foil,partial novel,Training,N
23,102,5.457865169,1,2,N,7,64,604,64 vs 604,1,posttest,Random,1,NA,completely novel,Training,N
24,102,5.457865169,1,2,N,8,201,21,201 vs 21,1,posttest,Random,1,target,partial novel,Training,N
25,102,5.457865169,1,2,N,9,105,125,105 vs 125,1,posttest,Random,1,foil,partial novel,Training,N
26,102,5.457865169,1,2,N,10,807,78,807 vs 78,1,posttest,Random,1,NA,completely novel,Training,N
